title,artist,cleaned_lyrics
무소의 뿔처럼,토불,무소의 뿔처럼 부모인연으로 풍진세상 태어나 시절인연따라 좋은인연 나쁜인연 때론 웃으며 때로는 울면서 만남과 이별의 상처만 남기네 아 차라리 무소의 뿔처럼 나홀로 서산으로 떠나는 인생 나의 마음을 벗삼아 고독한 삶을 즐기면 아픈 상처는 남기지 않으리 만남과 이별의 상처만 남기네 아 차라리 무소의 뿔처럼 나홀로 서산으로 떠나는 인생 나의 마음을 벗삼아 고독한 삶을 즐기면 아픈 상처는 남기지 않으리
성공의 길,유성,난 항상 희망의 신념과 의지로 뭐든지 하면 되는 자신감을 가지고 오늘도 보람에 찬 내 인생을 살리라 무엇이 부족한가 안될것이 무엇인가 누구보다 깊은 생각 잠재력 난 있어 외롭고 힘들다고 주저할 나 아니지만 현실에 머물 안정만 찾으려나 조금 더 힘을 내자 후회없는 미래위해 열정의 행동으로 나의 길 달려가리 난 항상 희망의 신념과 의지로 뭐든지 하면 되는 자신감을 가지고 오늘도 보람에 찬 내 인생을 살리라 무엇이 부족한가 안될것이 무엇인가 조금 덮다고 춥다고 불편해 어려워 슬프고 아프다고 자포자기 할것인가 바로 이 순간 열정이 성공이야 조금 더 힘을 내자 후회없는 미래위해 사랑의 정성으로 세상에 보답하리 세상에 보답하리
사랑은 비가 되어,김성봉,우리 사랑 변치 말자 약속해 놓고 말없이 가버린 야속한 사람아 솜사탕처럼 달콤하게 사랑한다 말해 놓고 바람처럼 사라진 가버린 사람아 타오르다 타오르다 꺼져 버린 사랑아 내 사랑은 비가 되어 하염없이 내리네 주룩주룩 내리네 내 가슴에 내리네 사랑은 비가 되어 내 가슴에 내리네 타오르다 타오르다 꺼져 버린 사랑아 내 사랑은 비가 되어 하염없이 내리네 주룩주룩 내리네 내 가슴에 내리네 사랑은 비가 되어 내 가슴에 내리네 사랑은 비가 되어 내 가슴에 내리네
사랑은 미끄러워서,김성봉,사랑은 너무 미끄러워 미끄러워서 좀처럼 손에 잡히지 않아 미치겠어요 사랑은 마음이 잘 변하는 사람 같아요 커피처럼 뜨거울 때는 너무 좋은데 빙판처럼 미끄러질 때는 너무 미워요 다가가도 모른 척할 때는 너무 미워요 사랑은 너무 미끄러워 미끄러워서 모처럼 잡아도 빠져나가 미치겠어요 빙판처럼 미끄러질 때는 너무 미워요 다가가도 모른 척할 때는 너무 미워요 사랑은 너무 미끄러워 미끄러워서 모처럼 잡아도 빠져나가 미치겠어요 모처럼 잡아도 빠져나가 미치겠어요
보고 싶은 사람아,정수범,사랑했던 그 사람 이제는 내 곁에서 떠나간 사람 야속한 사람아 서로 좋아 사랑했던 그 시절이 다시는 돌아올 수 없는 건가 행복했던 그 시절이 너무나 그리워 지금도 보고 싶은 그 시절 그 사람 꼭 한번 보고 싶은 그때 그 사람 사랑했던 그 사람 이제는 내 곁에서 떠나간 사람 야속한 사람아 서로 좋아 사랑했던 그 시절이 다시는 돌아올 수 없는 건가 행복했던 그 시절이 너무나 그리워 지금도 보고 싶은 그 시절 그 사람 꼭 한번 보고 싶은 그때 그 사람 보고 싶은 그때 그 사람
딱풀,성배,내 옆에 딱 딱 붙어 딱풀처럼 이젠 떨어지진 마라 어제보단 오늘 더 많이 내일 또 많이 사랑할게 내 가슴이 춤을 추네 딱풀아 너는 어때 쿵짜라 쿵짜라 내 사랑이여 벌처럼 톡 쏘는 나의 여자야 보고 있어도 보고 싶은 사랑스런 나의 여자야 나비처럼 아름다운 나의 사랑아 또다시 너의 향기에 난 취해 버렸어 내 옆에 딱 딱 붙어 딱풀처럼 이젠 떨어지진 마라 어제보단 오늘 더 많이 내일 또 많이 사랑할게 내 가슴이 춤을 추네 딱풀아 너는 어때 쿵짜라 쿵짜라 내 사랑이여 밀당은 절대로 안 하는 남자 술도 안 마셔 요리 잘해 설거지가 취미인 나잖아 꽃보다 더 향기로운 나의 사랑아 또 다시 나의 매력 속에 빠져 버렸어 내 옆에 딱 딱 붙어 딱풀처럼 이젠 떨어지진 마라 어제보단 오늘 더 많이 내일 또 많이 사랑할게 내 가슴이 춤을 추네 딱풀아 너는 어때 쿵짜라 쿵짜라 내 사랑이여 별이 뜨는 아름다운 밤에도 달이 뜨는 애절한 밤에도 내 옆에 딱 딱 붙어 딱풀처럼 이젠 떨어지진 마라 어제보단 오늘 더 많이 내일 또 많이 사랑할게 내 가슴이 춤을 추네 딱풀아 너는 어때 쿵짜라 쿵짜라 내 사랑이여 쿵짜라 쿵짜라 내 딱풀이야
한잔 두잔 세잔,황금아이,한잔 마시니까 기분 좋네 두잔 마시니까 머리 빙글 세잔 마시니까 춤이 나오네 오늘 밤은 끝이 없네 한잔 두잔 세잔 술잔 아싸 이거지 이런 맛이 다 있어 빵빵 터지는 느낌 좋아 모두 같이 즐겨봐 친구들 모여서 웃고 떠들어 노래하고 춤추며 시간아 멈춰라 별이 빛나는 밤하늘 아래 우리들의 축제다 한잔 두잔 세잔 술잔 아싸 이거지 이런 맛이 다 있어 빵빵 터지는 느낌 좋아 모두 같이 즐겨봐 오늘 밤은 길어 끝까지 달려 걱정은 뒤로 미뤄버려 음악 속에 몸을 맡겨봐 완전히 빠져들어 한잔 두잔 세잔 술잔 아싸 이거지 이런 맛이 다 있어 빵빵 터지는 느낌 좋아 모두 같이 즐겨봐
토닥 토닥,이백길,오늘은 유쾌한 날씨 당신의 기분 어때요 힘든 일상을 묵묵히 지키는 여러분을 응원합니다 나보다 가족을 챙기랴 앞만 보고 달려온 인생 누가 누구를 원망하나요 너무나 소중한 세월 그래요 잠깐이면 되니까 고개를 들어보세요 오늘 하루도 고생했다고 토닥 토닥 하며 살아요 오늘은 유쾌한 날씨 당신의 기분 어때요 힘든 일상을 묵묵히 지키는 여러분을 응원합니다 나보다 가족을 챙기랴 앞만 보고 달려온 인생 누가 누구를 원망하나요 너무나 소중한 세월 그래요 잠깐이면 되니까 고개를 들어보세요 오늘 하루도 고생했다고 토닥 토닥 하며 살아요 토닥 토닥 하며 살아요
내고향 뚝방길,이재자,아련히 떠오르는 내고향 뚝방길 고사리 손잡고 뛰어놀던 친구들아 서해바다 출렁이고 서산에 해기울면 꿈많던 어린시절 보고싶다 소꼽친구 반짝반짝 별이되어 사라져간 친구들아 보고싶다 그립구나 내고향 뚝방길 아련히 떠오르는 내고향 뚝방길 고사리 손잡고 뛰어놀던 친구들아 서해바다 출렁이고 서산에 해기울면 꿈많던 어린시절 보고싶다 소꼽친구 반짝반짝 별이되어 사라져간 친구들아 보고싶다 그립구나 내고향 뚝방길 보고싶다 소꼽친구 반짝반짝 별이되어 사라져간 친구들아 보고싶다 그립구나 내고향 뚝방길 내고향 뚝방길
영원한 등불,최태선,나라 잃은 서러움에 태극기는 통곡하였고 부동교 장텃길 꽃과 새도 울었네 비봉산 정기 따라 조국을 위해 피 토해낸 영혼으로 목이 터져라 만세 만세 만세 대한독립 만세 그 이름 열사 윤형숙 하늘에 별이 된 그대 영원한 우리의 등불 일본 헌병 총칼인들 그 무엇이 두려울거나 나라 없는 세상보다 외눈팔이 옥살이 뜨거운 마음으로 나라를 위해 피 토해낸 영혼으로 몸을 불살라 만세 만세 만세 대한독립만세 그 이름 열사 윤형숙 숭고한 그대 꿈 여기 영원한 우리의 등불 그 이름 열사 윤형숙 숭고한 그대 꿈 여기 영원한 우리의 등불 영원한 등불 윤형숙 자유의 등불 윤형숙 영원한 등불 자유의 등불 윤형숙
너니까,현선아,손들어 잠깐 꼼짝 말아라 내사랑 이제 너니까 흔들리지마 이제부터 내사랑은 너니까 이리보고 저리보고 보고보고 또봐도 내사랑 이제 너니까 이리보고 저리보고 보고보고 또봐도 내사랑 바로 너니까 흔들리지마 흔들리지마 내사랑 바로 너니까 누가뭐래도 누가뭐래도 내사랑 바로 너니까
만남을 위하여,안재동,큰 강 하나 그댈 막고 있음에 나에게 올 수가 없다면 그대여 짐 두고 몸 두고 그저 마음만으로 홀연히 오라 큰 산 하나 그댈 막고 있음에 나에게 올 수가 없다면 나 그대에게로 갈 것이니 그저 묵묵히 기다리기만 하라 나 그대에게 달려가다 필연코 만난의 장애물과 어려움에 맞닥뜨리게도 될 것이나 불사조처럼 그대에게 당도하리 그대 환한 미소로 언제까지고 기다려만 주신다면 나 그댈 향해 달려가는 여정 설렘으로 지칠 줄 모를 수밖에
김해 사나이,양승환,낙동강이 안아주는 내 고향 김해 여기가 김해평야더라 신어산 가락 평야 무척산 신선봉 모두가 내 고향 김해 철새들이 찾아오는 낙동강 하구 몇천 년 반가운 손님 그 옛날 가야왕국 김수로 왕 내가 바로 김해 사나이 낙동강이 안아주는 내 고향 김해 여기가 김해평야더라 신어산 가락 평야 무척산 신선봉 모두가 내 고향 김해 철새들이 찾아오는 낙동강 하구 몇천 년 반가운 손님 그 옛날 가야왕국 김수로 왕 내가 바로 김해 사나이 그 옛날 가야왕국 김수로 왕 내가 바로 김해 사나이 내가 바로 김해사나이 김해사나이
문제와 해결,안재동,잘 굴러가던 자동차가 갑자기 사고가 났네 차량 수십 대가 치고 받으며 완전 난장판이 되었어 그걸 그대로 방치해야겠나 절대 그대로는 아무 일 없었던 걸로 끝날 수는 없지 아무 일 없었던 듯 덮어버린다는 게 말이 되겠나 어떻게 수습해야 할까 그 지경에는 어느 누구라도 먼저 이렇게 말할거야 왜 사고가 났을까 어떻게 사고가 났을까 하고 말야 그런데 어떻게 수습하지라고 말하는 사람은 적을거야 본인 일이 아니라면 말야 수습을 하려면 어떻게 해야 할까 그건 우선 사고의 원인부터 찾아야 할 일인 건 바보가 아니라면 그쯤은 다 알겠지 엄청난 인적 피해와 물적 피해 상황에선 어느 누구 한 사람이 다 책임 질 수 있을까 원인을 못 찾는다면 수습 불가능 하지 세상만사 다 그런 거야 그런데 가끔 원인을 완전 무시하고 결과만 따지는 사람들도 있어 그런 것을 보면서도 내 일이 아니니까 그냥 못 본 체 못 본 체 못 들은 체 못 들은 체 하는 사람들도 있어 그런 사람들이 과연 문제 해결을 제대로 할 수 있을까
원인과 결과,안재동,세상 모든 일에는 원인과 결과란 것이 있다 원인 없는 결과가 있을 수 없지 부모 없는 자식이 있을 수 없듯이 말야 원인에 따라 결과가 달라지게 마련이고 좋은 씨앗은 풍작을 이루게 하고 나쁜 씨앗은 흉작이 되게 하지 아이의 성적이 나쁘다고 그 결과만 탓하지 마라 왜 무엇 때문에 그런지를 잘 이해하고 적절히 처방하지 못하거나 노력하지 않으면 결국 아이를 망칠 수밖에 무조건 결과만 따지는 사람들아 그게 얼마나 나쁜 짓인지를 알아야 하느니 때론 크나큰 화를 부르게도 되나니 의사들도 환자를 진료할 때는 항상 그 병의 원인부터 먼저 찾으려 하거늘 그래야 처방을 하고 병을 치유할 수 있거늘
